valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo;bomInvestimento
135000.00;João Alves;;Casa em Santa Cruz do Sul;2;1;1;55;CA0165-CA1Q;0
135000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;69.40;CA0056-CA1Q;0
138000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;49.90;CA0191-CA1Q;0
138000.00;João Alves;;Casa em Santa Cruz do Sul;2;1;1;64.41;CA0293-CA1Q;0
138000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;50.62;CA0372-CA1Q;0
139000.00;Monte Verde;;Casa em Santa Cruz do Sul;2;1;1;53;CA0135-CA1Q;0
139900.00;Dona Carlota;;Casa em Santa Cruz do Sul;2;1;1;100;CA0090-CA1Q;0
140000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;62;CA0331-CA1Q;0
140000.00;João Alves;;Casa em Santa Cruz do Sul;2;1;1;61.50;CA0003-CA1Q;0
140000.00;Esmeralda;;Casa em Santa Cruz do Sul;2;;1;70;CA0071-CA1Q;0
140000.00;Faxinal Velho;;Casa em Santa Cruz do Sul;2;1;1;70;CA0039-CA1Q;0
142000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;52.51;CA0373-CA1Q;0
145000.00;Jardim Europa;;Casa em Santa Cruz do Sul;2;1;;63;CA0273-CA1Q;0
145000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;55;CA0070-CA1Q;0
145000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;69;CA0347-CA1Q;0
148500.00;Goiás;;Casa em Santa Cruz do Sul;2;1;1;61;CA0169-CA1Q;0
149000.00;João Alves;;Casa em Santa Cruz do Sul;2;;1;59.73;CA0232-CA1Q;0
149000.00;João Alves;;Casa em Santa Cruz do Sul;2;1;;76.38;CA0008-CA1Q;0
150000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;62;CA0094-CA1Q;0
150000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;62;CA0076-CA1Q;0
150000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;54;CA0268-CA1Q;0
150000.00;Sena;;Casa em Santa Cruz do Sul;2;1;1;134.62;CA0197-CA1Q;0
150000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;62;CA0076-CA1Q;0
158000.00;Esmeralda;;Casa em Santa Cruz do Sul;2;;;100;CA0078-CA1Q;0
159000.00;João Alves;;Casa em Santa Cruz do Sul;2;1;1;60;CA0099-CA1Q;0
159000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;65;CA0206-CA1Q;0
159000.00;Santo Antônio;;Casa em Santa Cruz do Sul;2;1;1;70;CA0049-CA1Q;0
159000.00;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;60;CA0102-CA1Q;0
160000.00;Esmeralda;;Casa em Santa Cruz do Sul;2;1;1;67.83;CA0213-CA1Q;0
160000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;100;CA0122-CA1Q;0
160000.00;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;60;CA0203-CA1Q;0
160000.00;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;99;CA0088-CA1Q;0
160000.00;João Alves;;Casa em Santa Cruz do Sul;2;1;;75.83;CA0346-CA1Q;0
160000.00;Goiás;;Casa em Santa Cruz do Sul;2;;;88;CA0366-CA1Q;0
