valor;bairro;obs;tipo;dormitorios;banheiros;vagasGaragem;metragem;codigo
149000;João Alves;;Casa em Santa Cruz do Sul;2;;1;59,73;CA0232-CA1Q
149000;João Alves;;Casa em Santa Cruz do Sul;2;1;;76,38;CA0008-CA1Q
150000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;62;CA0094-CA1Q
150000;Pedreira;;Casa em Santa Cruz do Sul;2;1;1;;CA0386-CA1Q
150000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;71;CA0288-CA1Q
150000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;54;CA0268-CA1Q
150000;Sena;;Casa em Santa Cruz do Sul;2;1;1;134,62;CA0197-CA1Q
150000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;62;CA0076-CA1Q
157000;João Alves;;Casa em Santa Cruz do Sul;2;1;1;69,63;CA0387-CA1Q
158000;Esmeralda;;Casa em Santa Cruz do Sul;2;;;100;CA0078-CA1Q
159000;João Alves;;Casa em Santa Cruz do Sul;2;1;1;60;CA0099-CA1Q
159000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;65;CA0206-CA1Q
159000;Santo Antônio;;Casa em Santa Cruz do Sul;2;1;1;70;CA0049-CA1Q
159000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;1;60;CA0102-CA1Q
160000;Esmeralda;;Casa em Santa Cruz do Sul;2;1;1;67,83;CA0213-CA1Q
160000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;;100;CA0122-CA1Q
160000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;60;CA0203-CA1Q
160000;Santo Inácio;;Casa em Santa Cruz do Sul;3;;;99;CA0088-CA1Q
160000;João Alves;;Casa em Santa Cruz do Sul;2;1;;75,83;CA0346-CA1Q
160000;Goiás;;Casa em Santa Cruz do Sul;2;;;88;CA0366-CA1Q
160000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;71;CA0228-CA1Q
160000;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;64;CA0157-CA1Q
165000;Faxinal Velho;;Casa em Santa Cruz do Sul;3;;;125,55;CA0285-CA1Q
165000;Loteamento Vila Nova;;Casa em Santa Cruz do Sul;2;1;;60;CA0015-CA1Q
170000;Esmeralda;;Casa em Santa Cruz do Sul;2;1;1;72;CA0066-CA1Q
170000;Arroio Grande;;Casa em Santa Cruz do Sul;2;;1;61;CA0156-CA1Q
170000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;60;CA0348-CA1Q
170000;Arroio Grande;;Casa em Santa Cruz do Sul;2;1;1;72;CA0368-CA1Q
170000;Country;;Casa em Santa Cruz do Sul;2;;1;70;CA0243-CA1Q
170000;Rauber;;Casa em Santa Cruz do Sul;3;1;;170;CA0041-CA1Q
170000;Arroio Grande;;Casa em Santa Cruz do Sul;;1;;56;CA0007-CA1Q
175000;Várzea;;Casa em Santa Cruz do Sul;3;;1;100;CA0082-CA1Q
178000;Renascença;;Casa em Santa Cruz do Sul;2;1;1;77;CA0325-CA1Q
180000;Santa Vitória;;Casa em Santa Cruz do Sul;3;;1;112;CA0124-CA1Q
180000;Bom Jesus;;Casa em Santa Cruz do Sul;3;;;260;CA0084-CA1Q
180000;São João;;Casa em Santa Cruz do Sul;2;1;1;98;CA0319-CA1Q
180000;Monte Verde;;Casa em Santa Cruz do Sul;2;1;;50,65;CA0286-CA1Q
180000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;1;;56;CA0037-CA1Q
180000;Belvedere;;Casa em Santa Cruz do Sul;2;1;1;70,50;CA0382-CA1Q
185000;Linha Santa Cruz;;Casa em Santa Cruz do Sul;2;;;74;CA0125-CA1Q
185000;Germânia;;Casa em Santa Cruz do Sul;2;1;;71,65;CA0014-CA1Q
185000;Aliança;;Casa em Santa Cruz do Sul;2;1;1;70;CA0384-CA1Q
185000;Aliança;;Casa em Santa Cruz do Sul;3;;1;126;CA0160-CA1Q
187000;São João;IPTU R$ 431/mês;Casa em Santa Cruz do Sul;2;1;1;74;CA0323-CA1Q
190000;São João;;Casa em Santa Cruz do Sul;2;1;;60;CA0111-CA1Q
